Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,18818.58008,18951.11914,18394.42969,18450.98047,18450.98047,140200000
1/5/2016,18398.75977,18547.38086,18327.51953,18374,18374,132300000
1/6/2016,18410.57031,18469.38086,18064.30078,18191.32031,18191.32031,142200000
1/7/2016,18139.76953,18172.03906,17767.33984,17767.33984,17767.33984,168000000
1/8/2016,17562.23047,17975.31055,17509.64063,17697.96094,17697.96094,184300000
1/12/2016,17470.92969,17546.57031,17184.7793,17218.96094,17218.96094,178400000
1/13/2016,17449.11914,17717.75,17414.55078,17715.63086,17715.63086,145900000
1/14/2016,17384.92969,17393.83008,16944.41016,17240.94922,17240.94922,178300000
1/15/2016,17522.46094,17597.86914,17057.59961,17147.10938,17147.10938,167800000
1/18/2016,16826.92969,17037.25977,16665.05078,16955.57031,16955.57031,157200000
1/19/2016,16902.28906,17088.31055,16812.65039,17048.36914,17048.36914,154200000
1/20/2016,17030.2793,17031.32031,16387.60938,16416.18945,16416.18945,177800000
1/21/2016,16466.85938,16734.58008,16017.25977,16017.25977,16017.25977,228200000
1/22/2016,16336.71973,16993.96094,16332.4502,16958.5293,16958.5293,186800000
1/25/2016,17145.81055,17208.24023,16922.21094,17110.91016,17110.91016,157000000
1/26/2016,16833.13086,16839.51953,16652.25977,16708.90039,16708.90039,147000000
1/27/2016,16949.18945,17242.26953,16947.94922,17163.91992,17163.91992,155000000
1/28/2016,17059.83984,17235.43945,16942.13086,17041.44922,17041.44922,140900000
1/29/2016,17155.06055,17638.92969,16767.08984,17518.30078,17518.30078,294400000
2/1/2016,17699.59961,17905.36914,17666.48047,17865.23047,17865.23047,245000000
2/2/2016,17716.51953,17864.69922,17684.66016,17750.67969,17750.67969,200800000
2/3/2016,17497.41016,17515.67969,17080.57031,17191.25,17191.25,228500000
2/4/2016,17071.10938,17209.56055,16941.88086,17044.99023,17044.99023,238800000
2/5/2016,16790.5293,16893.11914,16627.80078,16819.58984,16819.58984,259900000
2/8/2016,16620.91016,17099.00977,16552.30078,17004.30078,17004.30078,200100000
2/9/2016,16666.78906,16668.69922,16025.94043,16085.44043,16085.44043,228200000
2/10/2016,16127.86035,16163.03027,15429.99023,15713.38965,15713.38965,283500000
2/12/2016,15426.26953,15437.21973,14865.76953,14952.61035,14952.61035,340500000
2/15/2016,15248.37988,16155.09961,15243.87988,16022.58008,16022.58008,232200000
2/16/2016,15849.46973,16341.55957,15809.58008,16054.42969,16054.42969,224900000
2/17/2016,16035.34961,16214.45996,15632.12012,15836.36035,15836.36035,204100000
2/18/2016,16138.08008,16337.58984,16118.79981,16196.79981,16196.79981,187800000
2/19/2016,16050.40039,16050.45996,15799.34961,15967.16992,15967.16992,161700000
2/22/2016,15851.38965,16187.40039,15816.83008,16111.04981,16111.04981,139800000
2/23/2016,16230.37988,16350.37988,16001.19043,16052.04981,16052.04981,165200000
2/24/2016,15851.12988,16006.4502,15753.76953,15915.79004,15915.79004,151600000
2/25/2016,15983.46973,16218.29004,15953.92969,16140.33984,16140.33984,169800000
2/26/2016,16311.51953,16472.5,16188.41016,16188.41016,16188.41016,147400000
2/29/2016,16313.30957,16464.75,16026.75977,16026.75977,16026.75977,164300000
3/1/2016,16013,16099.41992,15857.37012,16085.50977,16085.50977,152300000
3/2/2016,16391.48047,16815.25,16388.91992,16746.55078,16746.55078,175100000
3/3/2016,16695.7793,16962.94922,16691.93945,16960.16016,16960.16016,201400000
3/4/2016,16927.35938,17042.91992,16861.38086,17014.7793,17014.7793,183600000
3/7/2016,17024.64063,17026.25,16894.58008,16911.32031,16911.32031,159500000
3/8/2016,16889.48047,16909.78906,16570.2207,16783.15039,16783.15039,182800000
3/9/2016,16625.58984,16706.25,16494.80078,16642.19922,16642.19922,160700000
3/10/2016,16811,16887.59961,16713.13086,16852.34961,16852.34961,135600000
3/11/2016,16610.17969,17015.30078,16575.75,16938.86914,16938.86914,198000000
3/14/2016,17155.51953,17291.34961,17149.21094,17233.75,17233.75,140900000
3/15/2016,17219.89063,17279.30078,17042.56055,17117.07031,17117.07031,144300000
3/16/2016,16981.35938,17102.44922,16950.83984,16974.44922,16974.44922,126400000
3/17/2016,17107.59961,17253.0293,16814.83984,16936.38086,16936.38086,152500000
3/18/2016,16883.75,16920.91016,16613.68945,16724.81055,16724.81055,155700000
3/22/2016,16937.31055,17107.80078,16851.21094,17048.55078,17048.55078,136200000
3/23/2016,17066.26953,17142.08008,16964.31055,17000.98047,17000.98047,104700000
3/24/2016,16979.39063,17041.16016,16843.99023,16892.33008,16892.33008,142100000
3/25/2016,16949.5293,17026.14063,16889.40039,17002.75,17002.75,126500000
3/28/2016,17129.26953,17167.88086,16961.41016,17134.36914,17134.36914,123500000
3/29/2016,16985.2793,17137.19922,16948.42969,17103.5293,17103.5293,117000000
3/30/2016,17078.0293,17078.0293,16875.91016,16878.96094,16878.96094,131200000
3/31/2016,16997.14063,17033.65039,16758.66992,16758.66992,16758.66992,157500000
4/1/2016,16719.56055,16719.56055,16113.00977,16164.16016,16164.16016,178400000
4/4/2016,16087.75977,16238.50977,16029.5,16123.26953,16123.26953,144800000
4/5/2016,16044.23047,16066.17969,15698.54981,15732.82031,15732.82031,158100000
4/6/2016,15727.7002,15828.61035,15612.91016,15715.36035,15715.36035,150500000
4/7/2016,15739.25977,15871.09961,15636.20996,15749.83984,15749.83984,146000000
4/8/2016,15597.04004,16027.62988,15471.79981,15821.51953,15821.51953,176800000
4/11/2016,15761.57031,15778.74023,15525.49023,15751.12988,15751.12988,129900000
4/12/2016,15719.24023,15963.03027,15693.61035,15928.79004,15928.79004,147000000
4/13/2016,16142.70996,16405.58984,16132.23047,16381.21973,16381.21973,158800000
4/14/2016,16629.83008,16911.05078,16602.16992,16911.05078,16911.05078,175400000
4/15/2016,16720.39063,16928.66992,16720.39063,16848.0293,16848.0293,133300000
4/18/2016,16521.25,16526.90039,16254.2002,16275.9502,16275.9502,140600000
4/19/2016,16582.66016,16900.33008,16570.5,16874.43945,16874.43945,145700000
4/20/2016,17053.83008,17099.35938,16870.73047,16906.53906,16906.53906,143900000
4/21/2016,17187.26953,17381.69922,17144.5293,17363.61914,17363.61914,165900000
4/22/2016,17220.4707,17572.49023,17192.39063,17572.49023,17572.49023,228300000
4/25/2016,17613.56055,17613.56055,17403.86914,17439.30078,17439.30078,171600000
4/26/2016,17358.56055,17426.01953,17200.5,17353.2793,17353.2793,161600000
4/27/2016,17369.67969,17417.53906,17230.23047,17290.49023,17290.49023,140900000
4/28/2016,17438.99023,17572.26953,16652.74023,16666.05078,16666.05078,233100000
5/2/2016,16357.09961,16357.09961,15975.46973,16147.37988,16147.37988,179900000
5/6/2016,16212.66992,16271.61035,15989.34961,16106.71973,16106.71973,148100000
5/9/2016,16226.57031,16292.86035,16159.30957,16216.03027,16216.03027,118800000
5/10/2016,16307.5,16587.63086,16229.15039,16565.18945,16565.18945,166500000
5/11/2016,16736.7207,16814.64063,16536.60938,16579.00977,16579.00977,143500000
5/12/2016,16459.68945,16658.07031,16374.58984,16646.33984,16646.33984,138700000
5/13/2016,16804.16992,16804.16992,16400.86914,16412.21094,16412.21094,171600000
5/16/2016,16391.91992,16632.61914,16391.91992,16466.40039,16466.40039,125100000
5/17/2016,16618.94922,16655.89063,16509.31055,16652.80078,16652.80078,117600000
5/18/2016,16611.40039,16795.4707,16513.16992,16644.68945,16644.68945,165100000
5/19/2016,16807.46094,16841.03906,16590.16016,16646.66016,16646.66016,141600000
5/20/2016,16594.99023,16770.86914,16548.33984,16736.34961,16736.34961,126300000
5/23/2016,16671.2793,16691.5,16417.83984,16654.59961,16654.59961,116500000
5/24/2016,16605.03906,16605.03906,16471.36914,16498.75977,16498.75977,109700000
5/25/2016,16764.34961,16806.0293,16731.11914,16757.34961,16757.34961,107400000
5/26/2016,16927.68945,16957.56055,16743.16992,16772.46094,16772.46094,122000000
5/27/2016,16830.5,16901.08984,16792.73047,16834.83984,16834.83984,108400000
5/30/2016,16973.7207,17068.01953,16910.18945,17068.01953,17068.01953,100300000
5/31/2016,17029.46094,17251.35938,16988.64063,17234.98047,17234.98047,156700000
6/1/2016,17097.2207,17145.94922,16908.91992,16955.73047,16955.73047,133700000
6/2/2016,16817.25977,16819.84961,16525.4707,16562.55078,16562.55078,142800000
6/3/2016,16599.50977,16716.14063,16554.59961,16642.23047,16642.23047,107300000
6/6/2016,16373.32031,16581.30078,16322.63965,16580.0293,16580.0293,122200000
6/7/2016,16651.05078,16701.00977,16536.23047,16675.44922,16675.44922,109000000
6/8/2016,16722.49023,16830.91992,16581.71094,16830.91992,16830.91992,112100000
6/9/2016,16742.0293,16785.83008,16587.76953,16668.41016,16668.41016,115500000
6/10/2016,16637.50977,16643.35938,16496.10938,16601.35938,16601.35938,155000000
6/13/2016,16319.11035,16335.37988,16019.17969,16019.17969,16019.17969,126200000
6/14/2016,16001.19043,16082.5,15762.08984,15859,15859,131700000
6/15/2016,15799.07031,15997.29981,15752.00977,15919.58008,15919.58008,136800000
6/16/2016,15871.21973,15913.08008,15395.98047,15434.13965,15434.13965,154200000
6/17/2016,15631.79004,15774.87012,15582.94043,15599.66016,15599.66016,167200000
6/20/2016,15839.05957,16035.44043,15835.86035,15965.29981,15965.29981,132000000
6/21/2016,15875.80957,16202.29981,15770.95996,16169.11035,16169.11035,120900000
6/22/2016,16095.80957,16160.99023,15980.65039,16065.71973,16065.71973,111700000
6/23/2016,16098.61035,16263.87012,16057.86035,16238.34961,16238.34961,110800000
6/24/2016,16333.87012,16389.16992,14864.00977,14952.01953,14952.01953,263000000
6/27/2016,15153.08008,15323.9502,15061.66016,15309.20996,15309.20996,161900000
6/28/2016,15094.70996,15443.82031,14987.79004,15323.13965,15323.13965,180900000
6/29/2016,15523.34961,15626.66016,15398.30957,15566.83008,15566.83008,147400000
6/30/2016,15752.70996,15781.69043,15575.91992,15575.91992,15575.91992,150700000
7/1/2016,15698.01953,15765,15635.57031,15682.48047,15682.48047,119900000
7/4/2016,15554.04004,15805.30957,15553.91992,15775.79981,15775.79981,108500000
7/5/2016,15682.16016,15702.04004,15602.73047,15669.33008,15669.33008,109200000
7/6/2016,15434.45996,15434.45996,15167.98047,15378.99023,15378.99023,158400000
7/7/2016,15346.80957,15418.90039,15241.91016,15276.24023,15276.24023,127300000
7/8/2016,15326.83984,15399.7002,15106.51953,15106.98047,15106.98047,129500000
7/11/2016,15375.94043,15816.66992,15375.94043,15708.82031,15708.82031,138900000
7/12/2016,15961.29981,16237.62012,15956.91016,16095.65039,16095.65039,185100000
7/13/2016,16343,16444.25,16196.44043,16231.42969,16231.42969,195600000
7/14/2016,16242.2002,16398.73047,16229.25977,16385.89063,16385.89063,136100000
7/15/2016,16396.11914,16607.32031,16396.11914,16497.84961,16497.84961,171900000
7/19/2016,16612.08984,16726.71094,16514.66016,16723.31055,16723.31055,131600000
7/20/2016,16646.91992,16692.83984,16554.0293,16681.89063,16681.89063,120500000
7/21/2016,16855.17969,16938.96094,16740,16810.2207,16810.2207,134800000
7/22/2016,16612.90039,16691.81055,16566.98047,16627.25,16627.25,100800000
7/25/2016,16655.81055,16778.65039,16612.33008,16620.28906,16620.28906,102900000
7/26/2016,16535.81055,16535.81055,16323.09961,16383.04004,16383.04004,129400000
7/27/2016,16526.06055,16821.42969,16526.06055,16664.82031,16664.82031,155500000
7/28/2016,16596.15039,16616.2793,16450.2793,16476.83984,16476.83984,126400000
7/29/2016,16359.67969,16679.18945,16174.34961,16569.26953,16569.26953,234600000
8/1/2016,16415.31055,16677.49023,16319.15039,16635.76953,16635.76953,174100000
8/2/2016,16469.67969,16541.88086,16391.44922,16391.44922,16391.44922,131900000
8/3/2016,16227.28027,16275.33984,16056.66992,16083.11035,16083.11035,155400000
8/4/2016,16168.33984,16270.12012,15921.04004,16254.88965,16254.88965,160000000
8/5/2016,16278.99023,16355.98047,16230.7002,16254.4502,16254.4502,129400000
8/8/2016,16462.28906,16652.03906,16455.57031,16650.57031,16650.57031,141600000
8/9/2016,16632.41016,16779.58984,16630.56055,16764.9707,16764.9707,127500000
